Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City,State,Zip,Inspection Date,Inspection Type,Results,Violations,Latitude,Longitude,Location
1068208,CHINA COURT RESTAURANT,CHINA COURT RESTAURANT,2141795,Restaurant,Risk 1 (High),1146 N MILWAUKEE AVE,CHICAGO,IL,60642,03/14/2012,License Re-Inspection,Fail,"18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: FOUND NO PEST CONTROL LOG BOOK ON PREMISES,FRONT/REAR DOORS TO PREMISES WITH 1/4"" MODE OF ENTRY.MUST PROVIDE PEST CONTROL LOG BOOK,RODENT PROOF SAID DOORS ALL ACROSS THE BOTTOMS. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: SPLASHGUARD AT FRONT EXPOSED HANDSINK IS MISSING MUST PROVIDE,SINK STOPPERS ARE NEEDED FOR THE 3 COMPARTMENT SINK.   | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: DETAIL CLEAN,ORGANIZE REAR STORAGE AREAS AND REMOVE ALL CLUTTER/UNUSED KITCHEN EQUIPMENTS DUE TO POTENTIAL PEST HARBORAGE.",41.902462266949634,-87.66530609467256,"(41.902462266949634, -87.66530609467256)"
1072213,CUDDLE CARE,CUDDLE CARE,1622366,Daycare Above and Under 2 Years,Risk 1 (High),4800 S LAKE PARK AVE,CHICAGO,IL,60615,10/22/2012,Canvass,Pass,"31. CLEAN MULTI-USE UTENSILS AND SINGLE SERVICE ARTICLES PROPERLY STORED: NO REUSE OF SINGLE SERVICE ARTICLES - Comments: INVERT ALL MULTI-USE UTENSILS IN KITCHEN. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: REPAIR BROKEN  CABINET DOORS/DRAWERS IN KITCHEN.  | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: REPLACE ALL STAINED CEILING TILES IN KITCHEN AND STUDENT WASHROOM. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: REMOVE ALL UNNECESSARY CLUTTER IN NORTH HALLWAY CLOSET.STORE 6"" OFF FLOOR, ORGANIZE AND MAINTAIN AT ALL TIMES.",41.80792179224785,-87.5906931090992,"(41.80792179224785, -87.5906931090992)"
1072214,CUDDLE CARE,CUDDLE CARE,1622365,Daycare Above and Under 2 Years,Risk 1 (High),4800 S LAKE PARK AVE,CHICAGO,IL,60615,10/22/2012,Canvass,Pass,"31. CLEAN MULTI-USE UTENSILS AND SINGLE SERVICE ARTICLES PROPERLY STORED: NO REUSE OF SINGLE SERVICE ARTICLES - Comments: INVERT ALL MULTI-USE UTENSILS IN KITCHEN.  | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: REPAIR BROKEN CABINET DOORS/DRAWERS IN KITCHEN.  | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: REPLACE ALL STAINED CEILING TILES IN KITCHEN AND STUDENT WASHROOM.  | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: REMOVE ALL UNNECESSARY CLUTTER IN NORTH HALLWAY CLOSET.STORE 6"" OFF FLOOR, ORGANIZE AND MAINTAIN AT ALL TIMES.",41.80792179224785,-87.5906931090992,"(41.80792179224785, -87.5906931090992)"
1072228,SHARKS FISH & CHICKEN,SHARKS FISH & CHICKEN,2069562,Restaurant,Risk 2 (Medium),101 E 51ST ST,CHICAGO,IL,60615,10/26/2012,Short Form Complaint,Pass,"34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: REMOVE POOLING WATER IN WALK-IN COOLER, KEEP DRY AT ALL TIMES. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: STORE ALL FOOD ITEMS IN WALK-IN COOLER 6"" OFF FLOOR. MUST ELEVATE.",41.80189221533366,-87.62256558837282,"(41.80189221533366, -87.62256558837282)"
1072252,SALAAM RESTAURANT AND BAKERY,SALAAM RESTAURANT AND BAKERY,2141327,Restaurant,Risk 1 (High),700-706 W 79TH ST,CHICAGO,IL,60620,01/24/2013,Canvass,Pass,"33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: CLEAN THE FOLLOWING: INTERIOR BOTTOM CABINETS OF DEEP FRYER ON 1ST AND 2ND FLOORS,EXTERIOR OF ALL COOKING EQUIPMENT ON 2ND FLOOR. MUST CLEAN,  ORGANIZE AND MAINTAIN AT ALL TIMES.   | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: MUST CLEAN FLOORS IN STAIRWAYS, ON SECOND FLOOR AT CORNERS AND ALONG WALL BASE IN PREP AREA AND WHERE NECESSARY. MUST CLEAN AND MAINTAIN AT ALL TIMES. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: SERVICE DOOR FOR ELEVATOR ON EAST SIDE OF BUILDING NEEDS WEATHER STRIPPING DOWN THE MIDDLE TO PREVENT PEST ENTRY. ELEVATE PRODUCTS 6"" OFF FLOOR IN DRY GOODS STORAGE AREA. | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: LIGHT SHIELDS MISSING IN UPSTAIRS WALK-IN COOLER AND FREEZER. MUST PROVIDE. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: REMOVE CLUTTER UNDER STAIRS OFF OF BAKERY AREA. MUST REMOVE AND MAINTAIN AT ALL TIMES.",41.750787498480555,-87.64166664542023,"(41.750787498480555, -87.64166664542023)"
1072529,GRESHAM ELEMENTARY SCHOOL,GRESHAM ELEMENTARY SCHOOL,23451,School,Risk 1 (High),8524 S Green (832W),CHICAGO,IL,60620,09/05/2013,Canvass,Fail,"12. HAND WASHING FACILITIES: WITH SOAP AND SANITARY HAND DRYING DEVICES, CONVENIENT AND ACCESSIBLE TO FOOD PREP AREA - Comments: NO SOAP FOR HAND WASHING IN STAFF RESTROOM. INSTRUCTED TO PROVIDE.  CRITICAL VIOLATION 7-38-030.  | 18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: OBSERVED 30 MICE DROPPINGS UNDER RACKS, ON TOP OF BULK CONTAINERS AND AGAINST WALL IN DRY FOOD PANTRY AREA, AND IN LUNCHROOM. ALSO NOTED DOOR #3 NOT RODENT PROOF WITH 1/2"" GAP DOWN THE CENTER AND AT BOTTOM. REMOVE DROPPINGS CLEAN AND SANITIZE AFFECTED AREAS, SEAL DOOR. SERIOUS VIOLATION 7-38-020. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: CLEAN/SANITIZE FLOORS IN KITCHEN, LUNCHROOM AND PANTRY. MAINTAIN AT ALL TIMES.",41.73891334027122,-87.6450616939937,"(41.73891334027122, -87.6450616939937)"
1084236,THE JIBARITO STOP,THE JIBARITO STOP,2156722,Mobile Food Dispenser,Risk 3 (Low),2007-2009 S DAMEN AVE,CHICAGO,IL,60608,05/25/2012,License,Fail,"18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: THE REAR PASSENGER SIDE OF THE TRUCK HAS AN OPEN LOUVER VENT WITH 1/4"" OPENINGS, ATTACH A SCREEN TO KEEP OUT INSECTS/PESTS. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: THE SERVING COUNTERS ARE BLACK METAL COVERED WITH CONTACT PAPER, THE COUNTERS MUST BE CONSTRUCTED OF A SMOOTH AND SANITARY SURFACE. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: THE FLOORS ARE ROUGH IN SPOTS AND DIRTY, REMOVE THE CORROSION, CLEAN THE FLOORS AND FILL IN THE SMALL HOLES AT THE REAR OF THE COMPARTMENT.",41.854694701707345,-87.67576513516751,"(41.854694701707345, -87.67576513516751)"
1084239,MANJARES AL EXPRESS,MANJARES AL EXPRESS,2021538,Restaurant,Risk 1 (High),2226-2230 S ASHLAND AVE,CHICAGO,IL,60608,05/29/2012,Complaint,Fail,"2. FACILITIES TO MAINTAIN PROPER TEMPERATURE - Comments: THE SOUTH FRONT KITCHEN PREP COOLER HAS AN AMBIENT AIR TEMPERATURE OF 54 F, COOLER TAGGED HELD FOR INSPECTION UNTIL REPAIRED OR REPLACED. | 3. POTENTIALLY HAZARDOUS FOOD MEETS TEMPERATURE REQUIREMENT DURING STORAGE, PREPARATION DISPLAY AND SERVICE - Comments: 4 PANS OF COOKED FISH AND SEAFOOD SALADS AND A PACKAGE OF IMITATION CRAB ARE BEING HELD AT 53 F TO 55.3 F INTERNAL TEMPERATURE.    4 POUNDS OF PRODUCT VALUED AT $30 WAS DISCARDED AT THIS TIME. | 8. SANITIZING RINSE FOR EQUIPMENT AND UTENSILS:  CLEAN, PROPER TEMPERATURE, CONCENTRATION, EXPOSURE TIME - Comments: THE LOW TEMPERATURE DISHMACHINE BEING USED AT THIS TIME HAS NO SANITIZING RINSE CHEMICAL DETECTED IN THE FINAL RINSE, MACHINE TAGGED HELD FOR INSPECTION AND CANNOT BE USED UNTIL REINSPECTED.    THE THREE COMPARTMENT SINK IN THE BAR AREA IS BEING USED TO WASH GLASSES WITH ONLY THE CENTER COMPARTMENT.    A THREE COMPARTMENT SINK MUST BE SET UP WITH SOAP AND WATER, A CLEAN WATER RINSE AND A FINAL SANITIZING RINSE IN ORDER TO INSURE PROPER SANITATION. | 10. SEWAGE AND WASTE WATER DISPOSAL, NO BACK SIPHONAGE, CROSS  CONNECTION AND/OR BACK FLOW - Comments: THE NORTH KITCHEN EXPOSED HAND SINK DRAIN LEAKS INTO A BUCKET, SINK SHUT DOWN AT THIS TIME.  AN ALTERNATE HANDSINK ON THE SOUTH WALL OF THE KITCHEN IS WORKING PROPERLY AND IS ACCESSIBLE. | 18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: OVER 20 LIVE SMALLFLIES WERE FOUND IN THE DIRTY DRAINS AND WET AREA UNDER THE LEAKING NORTH EXPOSED HAND SINK.    OVER 30 LIVE ANTS WERE FOUND IN THE MOP SINK AND ATTACHED BASEBOARD AREA.    A 1"" HOLE IN THE CORNER OF THE SOUTHWEST KITCHEN BASEBOARD GOES OUTSIDE, PEST PROOF THE OUTER OPENING AND REMOVE ALL EVIDENCE OF PEST ACTIVITY. | 24. DISH WASHING FACILITIES: PROPERLY DESIGNED, CONSTRUCTED, MAINTAINED, INSTALLED, LOCATED AND OPERATED - Comments: THE BAR THREE COMPARTMENT SINK HAS A MOLD COATED CAULKED SEAM INSIDE OF THE EAST COMPARTMENT.   HAVE THE STAINLESS STEEL SINK WELDED WITH STAINLESS STEEL AND GROUND SMOOTH, REPLACED OR REMOVED.  SINK TAGGED HELD FOR INSPECTION. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: THE FLOORS ARE DIRTY THROUGHOUT THE KITCHEN AND WALK IN COOLER INTERIORS; WASH, RINSE AND SANITIZE THE FLOORS UNTIL THEY ARE CLEAN FROM CORNER TO CORNER. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: THE KITCHEN WALLS AND CEILINGS ARE DIRTY, CLEAN THE WALLS AND CEILINGS FROM TOP TO BOTTOM AND REPAINT WITH LIGHT COLORS AS NEEDED. | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: THE REAR WALK IN COOLER HAS A MISSING LIGHT SHIELD, REPLACE THE MISSING SHIELD AND REPLACE THE MISSING END CAPS IN THE DISHROOM LIGHT BULB SHIELDS.",41.851397799712196,-87.66616621226514,"(41.851397799712196, -87.66616621226514)"
1084242,CHISCREAM,CHISCREAM,2152278,Mobile Food Dispenser,Risk 3 (Low),324 N LEAVITT ST,CHICAGO,IL,60612,06/04/2012,License,Fail,"1. SOURCE SOUND CONDITION, NO SPOILAGE, FOODS PROPERLY LABELED, SHELLFISH TAGS IN PLACE - Comments: THE CART HAS NO ADDRESS ON THE OUTSIDE, ADD THE ADDRESS OF THE BUSINESS IN 2"" LETTERING. | 16. FOOD PROTECTED DURING STORAGE, PREPARATION, DISPLAY, SERVICE AND TRANSPORTATION - Comments: THE LID IS AN ELASTIC BANDED TARP, THE TOP NEEDS TO BE CONSTRUCTED OUT OF A DURABLE, EASY TO CLEAN SURFACE. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: THE CART INSULATED BOX HAS ROUGH, UNSANITARY EDGES, SEAL THE EDGES SO THEY ARE SMOOTH, SANITARY AND EASY TO MAINTAIN.",41.88743405025222,-87.68184949426895,"(41.88743405025222, -87.68184949426895)"
1084254,DELANO ELEMENTARY,DELANO ELEMENTARY,22911,School,Risk 1 (High),3937 W Wilcox St (132S),CHICAGO,IL,60624,06/11/2012,Canvass,Pass,"33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: THE 2-DOOR FRONT LINE COOLER IS ICED UP, DEFROST AND MAINTAIN SAID COOLER. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: THE FLOORS ARE DIRTY UNDER THE THREE COMPARTMENT SINK AND IN FRONT OF THE DOUGH MIXER OF THE MAIN KITCHEN AND INSIDE OF THE HEADSTART HALLWAY CLOSETS.  CLEAN THE FLOORS FROM CORNER TO CORNER. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: THE WALLS IN THE FIRST AND SECOND FLOOR GIRLS WASHROOMS ARE ROUGH CONCRETE AND BRICK, SMOOTH OUT THE WALL TO EASY CLEANING.    THE CEILING IN THE FIRST FLOOR BOYS WASHROOM IS WATER DAMAGED, REPAIR THE WATER DAMAGED WALL SO IT IS SMOOTH AND SANITARY. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: THERE ARE OUT OF ORDER TOILETS IN THE ""O"" SIDE GIRLS AND SECOND FLOOR GIRLS WASHROOMS, PARTS ARE ON ORDER, REPAIR ALL OUT OF ORDER PLUMBING.    THE KITCHEN FLOORS HAVE DIRTY DRAINS AND SMALL HOLES, SEAL UP UNESSESARY HOLES AND GAPS AND CLEAN AND MAINTAIN THE DRAINS.",41.87877166307884,-87.72464874852157,"(41.87877166307884, -87.72464874852157)"
